Frame,Time (s),Knee Angle (deg),Hip Angle (deg),Feedback
215,7.17,79.8,71.4,
216,7.2,77.3,70.3,
217,7.23,68.5,62.0,
218,7.27,69.9,63.9,
219,7.3,63.6,58.2,
220,7.33,61.3,55.9,
221,7.37,62.7,57.4,
222,7.4,60.8,55.3,
223,7.43,62.1,56.8,
224,7.47,62.0,58.5,
225,7.5,63.4,58.6,
226,7.53,64.6,59.8,
227,7.57,64.6,60.4,
228,7.6,63.0,57.8,
229,7.63,62.4,56.0,
230,7.67,64.1,56.7,
231,7.7,63.3,60.2,
232,7.73,69.9,65.8,
233,7.77,74.6,71.4,
234,7.8,87.9,84.0,
235,7.83,86.4,82.6,
236,7.87,90.3,84.8,
237,7.9,88.8,83.5,
238,7.93,87.5,81.1,
239,7.97,90.6,85.4,
240,8.0,91.0,86.1,
241,8.03,92.3,88.6,
242,8.07,94.4,89.4,
243,8.1,95.9,90.9,
244,8.13,99.4,95.7,
245,8.17,101.6,100.8,
246,8.2,106.0,112.5,
247,8.23,108.7,112.7,
248,8.27,114.9,115.5,
249,8.3,122.6,119.3,
250,8.33,0,0,
251,8.37,145.3,146.6,
252,8.4,146.5,149.3,
253,8.43,155.8,156.2,
254,8.47,161.9,160.9,
255,8.5,166.5,163.6,
256,8.53,170.4,165.3,
257,8.57,173.8,166.5,
258,8.6,175.5,167.4,
259,8.63,175.5,167.4,
260,8.67,175.5,166.8,
261,8.7,176.4,168.9,
262,8.73,175.4,170.3,
263,8.77,173.5,170.1,
264,8.8,172.6,168.6,
265,8.83,173.5,170.3,
266,8.87,172.5,168.7,
267,8.9,173.4,170.4,
268,8.93,173.5,170.4,
269,8.97,173.6,170.4,
270,9.0,173.5,169.7,
271,9.03,173.4,169.7,
272,9.07,172.4,169.2,
273,9.1,172.4,169.2,
274,9.13,172.4,169.9,
275,9.17,175.4,173.2,
276,9.2,175.4,173.3,
277,9.23,175.5,173.9,
278,9.27,173.8,177.2,
279,9.3,172.9,174.2,
280,9.33,171.9,171.1,
281,9.37,169.1,169.2,
282,9.4,168.3,167.6,
283,9.43,163.6,163.9,
284,9.47,160.0,158.6,
285,9.5,153.7,152.8,
286,9.53,144.7,142.1,
287,9.57,137.2,133.8,
288,9.6,131.3,126.3,
289,9.63,124.4,120.0,
290,9.67,0,0,
291,9.7,118.1,117.5,
292,9.73,116.0,114.2,
293,9.77,114.5,105.5,
294,9.8,114.0,101.7,
295,9.83,98.7,90.0,
296,9.87,100.7,91.1,
297,9.9,107.9,96.3,
298,9.93,97.5,85.7,
299,9.97,92.3,81.3,
300,10.0,84.4,75.5,
301,10.03,81.1,72.7,
302,10.07,78.5,72.7,
303,10.1,71.4,65.3,
304,10.13,72.9,67.6,
305,10.17,63.2,58.8,
306,10.2,61.2,58.4,
307,10.23,66.5,63.4,
308,10.27,65.3,59.7,
309,10.3,64.1,56.5,
310,10.33,64.9,56.2,
311,10.37,61.2,53.3,
312,10.4,60.6,53.6,
313,10.43,60.2,54.0,
314,10.47,66.7,66.9,
315,10.5,67.2,64.2,
316,10.53,69.8,68.7,
317,10.57,73.0,72.0,
318,10.6,74.5,74.6,
319,10.63,77.9,77.5,
320,10.67,79.4,76.2,
321,10.7,82.9,77.5,
322,10.73,87.9,82.2,
323,10.77,88.7,81.6,
324,10.8,0,0,
325,10.83,101.8,97.9,
326,10.87,103.0,102.0,
327,10.9,0,0,
328,10.93,121.0,115.7,
329,10.97,0,0,
330,11.0,129.8,123.0,
331,11.03,130.8,125.3,
332,11.07,135.6,129.7,
333,11.1,143.7,137.7,
334,11.13,148.8,141.3,
335,11.17,157.7,153.0,
336,11.2,166.2,161.1,
337,11.23,169.6,161.6,
338,11.27,172.2,160.5,
339,11.3,174.6,160.4,
340,11.33,173.6,160.1,
341,11.37,172.1,159.8,
342,11.4,173.9,159.7,
343,11.43,0,0,
344,11.47,180.0,174.6,
345,11.5,0,0,
346,11.53,176.5,177.7,
347,11.57,177.3,177.9,
348,11.6,176.4,176.4,
349,11.63,176.5,177.9,
350,11.67,175.6,177.1,
351,11.7,0,0,
352,11.73,178.1,174.1,
353,11.77,178.3,177.6,
354,11.8,179.1,178.7,
355,11.83,179.1,178.7,
356,11.87,178.2,178.8,
357,11.9,177.4,179.9,
358,11.93,177.4,179.8,
359,11.97,177.4,179.6,
360,12.0,176.5,178.5,
361,12.03,175.7,179.4,
362,12.07,176.5,179.2,
363,12.1,175.6,177.4,
364,12.13,178.2,176.9,
365,12.17,178.4,176.2,
366,12.2,177.6,175.5,
367,12.23,177.6,174.3,
368,12.27,179.9,176.2,
369,12.3,178.2,173.8,
370,12.33,177.2,171.7,
371,12.37,177.5,172.1,
372,12.4,177.3,171.1,
373,12.43,179.0,172.5,
374,12.47,177.0,175.4,
375,12.5,175.4,174.7,
376,12.53,169.7,175.6,
377,12.57,171.3,175.8,
378,12.6,175.5,174.0,
379,12.63,179.3,174.4,
380,12.67,178.5,175.8,
381,12.7,172.4,176.8,
382,12.73,169.5,176.5,
383,12.77,159.3,174.2,
384,12.8,156.8,173.4,
385,12.83,152.7,175.1,
386,12.87,146.4,179.9,
387,12.9,137.0,179.7,
388,12.93,145.2,174.1,
389,12.97,153.7,166.3,
390,13.0,159.0,164.7,
391,13.03,163.1,163.0,
392,13.07,165.4,162.3,
393,13.1,171.0,159.2,
394,13.13,173.5,161.4,
395,13.17,178.7,158.3,
396,13.2,175.8,161.8,
397,13.23,178.2,161.3,
398,13.27,177.1,163.0,
399,13.3,174.6,166.8,
400,13.33,165.0,173.6,
